level,section_code,section_name,division_code,division_name,group_code,group_name,class_code,class_name,gb_source_row,status,notes
class,C,制造业,13,农副食品加工业,137,蔬菜、菌类、水果和坚果加工,1372,食用菌加工,1419,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,137,蔬菜、菌类、水果和坚果加工,1373,水果和坚果加工,1428,BASE_CATALOG,
group,C,制造业,13,农副食品加工业,139,其他农副食品加工,,,1446,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,139,其他农副食品加工,1391,淀粉及淀粉制品制造,1447,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,139,其他农副食品加工,1392,豆制品制造,1461,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,139,其他农副食品加工,1393,蛋品加工,1467,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,139,其他农副食品加工,1399,其他未列明农副食品加工,1473,BASE_CATALOG,
division,C,制造业,14,食品制造业,,,,,1476,BASE_CATALOG,
group,C,制造业,14,食品制造业,141,焙烤食品制造,,,1477,BASE_CATALOG,
class,C,制造业,14,食品制造业,141,焙烤食品制造,1411,糕点、面包制造,1478,BASE_CATALOG,
class,C,制造业,14,食品制造业,141,焙烤食品制造,1419,饼干及其他焙烤食品制造,1486,BASE_CATALOG,
group,C,制造业,14,食品制造业,142,糖果、巧克力及蜜饯制造,,,1494,BASE_CATALOG,
class,C,制造业,14,食品制造业,142,糖果、巧克力及蜜饯制造,1421,糖果、巧克力制造,1495,BASE_CATALOG,
class,C,制造业,14,食品制造业,142,糖果、巧克力及蜜饯制造,1422,蜜饯制作,1506,BASE_CATALOG,
group,C,制造业,14,食品制造业,143,方便食品制造,,,1516,BASE_CATALOG,
class,C,制造业,14,食品制造业,143,方便食品制造,1431,米、面制品制造,1518,BASE_CATALOG,
class,C,制造业,14,食品制造业,143,方便食品制造,1432,速冻食品制造,1525,BASE_CATALOG,
class,C,制造业,14,食品制造业,143,方便食品制造,1433,方便面制造,1532,BASE_CATALOG,
class,C,制造业,14,食品制造业,143,方便食品制造,1439,其他方便食品制造,1538,BASE_CATALOG,
group,C,制造业,14,食品制造业,144,乳制品制造,,,1550,BASE_CATALOG,
class,C,制造业,14,食品制造业,144,乳制品制造,1441,液体乳制造,1552,BASE_CATALOG,
class,C,制造业,14,食品制造业,144,乳制品制造,1442,乳粉制造,1563,BASE_CATALOG,
class,C,制造业,14,食品制造业,144,乳制品制造,1449,其他乳制品制造,1574,BASE_CATALOG,
group,C,制造业,14,食品制造业,145,罐头食品制造,,,1586,BASE_CATALOG,
class,C,制造业,14,食品制造业,145,罐头食品制造,1451,肉、禽类罐头制造,1591,BASE_CATALOG,
class,C,制造业,14,食品制造业,145,罐头食品制造,1452,水产品罐头制造,1596,BASE_CATALOG,
class,C,制造业,14,食品制造业,145,罐头食品制造,1453,蔬菜、水果罐头制造,1603,BASE_CATALOG,
class,C,制造业,14,食品制造业,145,罐头食品制造,1459,其他罐头食品制造,1614,BASE_CATALOG,
group,C,制造业,14,食品制造业,146,调味品、发酵制品制造,,,1624,BASE_CATALOG,
class,C,制造业,14,食品制造业,146,调味品、发酵制品制造,1461,味精制造,1628,BASE_CATALOG,
class,C,制造业,14,食品制造业,146,调味品、发酵制品制造,1462,酱油、食醋及类似制品制造,1633,BASE_CATALOG,
class,C,制造业,14,食品制造业,146,调味品、发酵制品制造,1469,其他调味品、发酵制品制造,1641,BASE_CATALOG,
group,C,制造业,14,食品制造业,149,其他食品制造,,,1661,BASE_CATALOG,
class,C,制造业,14,食品制造业,149,其他食品制造,1491,营养食品制造,1662,BASE_CATALOG,
class,C,制造业,14,食品制造业,149,其他食品制造,1492,保健食品制造,1670,BASE_CATALOG,
class,C,制造业,14,食品制造业,149,其他食品制造,1493,冷冻饮品及食用冰制造,1687,BASE_CATALOG,
class,C,制造业,14,食品制造业,149,其他食品制造,1494,盐加工,1697,BASE_CATALOG,
class,C,制造业,14,食品制造业,149,其他食品制造,1495,食品及饲料添加剂制造,1705,BASE_CATALOG,
class,C,制造业,14,食品制造业,149,其他食品制造,1499,其他未列明食品制造,1741,BASE_CATALOG,
division,C,制造业,15,酒、饮料和精制茶制造业,,,,,1759,BASE_CATALOG,
group,C,制造业,15,酒、饮料和精制茶制造业,151,酒的制造,,,1760,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,151,酒的制造,1511,酒精制造,1765,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,151,酒的制造,1512,白酒制造,1777,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,151,酒的制造,1513,啤酒制造,1787,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,151,酒的制造,1514,黄酒制造,1796,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,151,酒的制造,1515,葡萄酒制造,1801,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,151,酒的制造,1519,其他酒制造,1815,BASE_CATALOG,
group,C,制造业,15,酒、饮料和精制茶制造业,152,饮料制造,,,1824,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,152,饮料制造,1521,碳酸饮料制造,1825,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,152,饮料制造,1522,瓶（罐）装饮用水制造,1832,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,152,饮料制造,1523,果菜汁及果菜汁饮料制造,1841,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,152,饮料制造,1524,含乳饮料和植物蛋白饮料制造,1855,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,152,饮料制造,1525,固体饮料制造,1862,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,152,饮料制造,1529,茶饮料及其他饮料制造,1872,BASE_CATALOG,
group,C,制造业,15,酒、饮料和精制茶制造业,153,精制茶加工,,,1886,BASE_CATALOG,
class,C,制造业,15,酒、饮料和精制茶制造业,153,精制茶加工,1530,精制茶加工,1886,BASE_CATALOG,same_row_group_and_class
division,C,制造业,16,烟草制品业,,,,,1894,BASE_CATALOG,
